Time,Locations
2010-07-28 10:57:45.260000,00:09:42:00:19:a7
2010-07-28 10:57:45.900000,00:09:42:00:19:a7
2010-07-28 10:57:46.540000,00:09:42:00:19:a7
2010-07-28 10:57:47.180000,00:09:42:00:19:a7
2010-07-28 10:57:47.820000,00:09:42:00:19:a7
2010-07-28 10:57:48.460000,00:09:42:00:19:a7
2010-07-28 10:57:49.100000,00:09:42:00:19:a7
2010-07-28 10:57:49.740000,00:09:42:00:19:a7
2010-07-28 10:57:50.380000,00:09:42:00:19:a7
2010-07-28 10:57:51.020000,00:09:42:00:19:a7
2010-07-28 10:57:51.660000,00:09:42:00:19:a7
2010-07-28 10:57:52.300000,00:09:42:00:19:a7
2010-07-28 10:57:52.940000,00:09:42:00:19:a7
2010-07-28 10:57:53.580000,00:09:42:00:19:a7
2010-07-28 10:57:54.220000,00:09:42:00:19:a7
2010-07-28 10:57:54.860000,00:09:42:00:19:a7
2010-07-28 10:57:55.500000,00:09:42:00:19:a7
2010-07-28 10:57:56.140000,00:09:42:00:19:a7
2010-07-28 10:57:56.780000,00:09:42:00:19:a7
2010-07-28 10:57:57.420000,00:09:42:00:19:a7
2010-07-28 10:57:58.060000,00:09:42:00:19:a7
2010-07-28 10:57:58.700000,00:09:42:00:19:a7
2010-07-28 10:57:59.340000,00:09:42:00:19:a7
2010-07-28 10:57:59.980000,00:09:42:00:19:a7
2010-07-28 10:58:00.620000,00:09:42:00:19:a7
2010-07-28 10:58:01.260000,00:09:42:00:19:a7
2010-07-28 10:58:01.900000,00:09:42:00:19:a7
2010-07-28 10:58:02.540000,00:09:42:00:19:a7
2010-07-28 10:58:03.180000,00:09:42:00:19:a7
2010-07-28 10:58:03.820000,00:09:42:00:19:a7
2010-07-28 10:58:04.460000,00:09:42:00:19:a7
2010-07-28 10:58:05.100000,00:09:42:00:19:a7
2010-07-28 10:58:05.740000,00:09:42:00:19:a7
2010-07-28 10:58:06.380000,00:09:42:00:19:a7
2010-07-28 10:58:07.020000,00:09:42:00:19:a7
2010-07-28 10:58:07.660000,00:09:42:00:19:a7
2010-07-28 10:58:08.300000,00:09:42:00:19:a7
2010-07-28 10:58:08.940000,00:09:42:00:19:a7
2010-07-28 10:58:09.580000,00:09:42:00:19:a7
2010-07-28 10:58:10.220000,00:09:42:00:19:a7
2010-07-28 10:58:10.860000,00:09:42:00:19:a7
2010-07-28 10:58:11.500000,00:09:42:00:19:a7
2010-07-28 10:58:12.140000,00:09:42:00:19:a7
2010-07-28 10:58:12.780000,00:09:42:00:19:a7
2010-07-28 10:58:13.420000,00:09:42:00:19:a7
2010-07-28 10:58:14.060000,00:09:42:00:19:a7
2010-07-28 10:58:14.700000,00:09:42:00:19:a7
2010-07-28 10:58:15.340000,00:09:42:00:19:a7
2010-07-28 10:58:15.980000,00:09:42:00:19:a7
2010-07-28 10:58:16.620000,00:09:42:00:19:a7
2010-07-28 10:58:17.260000,00:09:42:00:19:a7
2010-07-28 10:58:17.900000,00:09:42:00:19:a7
2010-07-28 10:58:18.540000,00:09:42:00:19:a7
2010-07-28 10:58:19.180000,00:09:42:00:19:a7
2010-07-28 10:58:19.820000,00:09:42:00:19:a7
2010-07-28 10:58:20.460000,00:09:42:00:19:a7
2010-07-28 10:58:21.100000,00:09:42:00:19:a7
2010-07-28 10:58:21.740000,00:09:42:00:19:a7
2010-07-28 10:58:22.380000,00:09:42:00:19:a7
2010-07-28 10:58:23.020000,00:09:42:00:19:a7
2010-07-28 10:58:23.660000,00:09:42:00:19:a7
2010-07-28 10:58:24.300000,00:09:42:00:19:a7
2010-07-28 10:58:24.940000,00:09:42:00:19:a7
2010-07-28 10:58:25.580000,00:09:42:00:19:a7
2010-07-28 10:58:26.220000,00:09:42:00:19:a7
2010-07-28 10:58:26.860000,00:09:42:00:19:a7
2010-07-28 10:58:27.500000,00:09:42:00:19:a7
2010-07-28 10:58:28.140000,00:09:42:00:19:a7
2010-07-28 10:58:28.780000,00:09:42:00:19:a7
2010-07-28 10:58:29.420000,00:09:42:00:19:a7
2010-07-28 10:58:30.060000,00:09:42:00:19:a7
2010-07-28 10:58:30.700000,00:09:42:00:19:a7
2010-07-28 10:58:31.340000,00:09:42:00:19:a7
2010-07-28 10:58:31.980000,00:09:42:00:19:a7
2010-07-28 10:58:32.620000,00:09:42:00:19:a7
2010-07-28 10:58:33.260000,00:09:42:00:19:a7
