@relation 1811dataset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-372,60,1422,1968,297,497,Down
-375,123,1332,2100,281,543,Down
-354,165,1238,2199,232,588,Down
-328,210,1125,2264,183,678,Down
-303,259,1035,2314,101,633,Down
-237,295,888,2347,85,678,Down
-138,361,743,2347,36,724,Down
-66,423,614,2330,36,724,Down
-28,459,557,2264,4,724,Down
-42,459,455,2182,4,724,Down
-1,483,359,2100,-28,724,Down
23,513,279,1968,-44,769,Down
44,544,218,1869,-61,724,Down
65,556,171,1737,-77,678,Down
80,561,140,1605,-77,678,Down
86,562,107,1441,-93,633,Down
89,576,99,1325,-77,633,Down
81,582,75,1177,-61,633,Down
81,582,45,1029,-77,588,Down
86,588,-7,881,-77,543,Down
116,604,-57,716,-77,497,Down
141,622,-111,551,-44,407,Down
158,646,-195,353,-28,362,Down
191,661,-294,139,-12,271,Down
249,682,-382,-123,-12,181,Down
321,711,-453,-338,52,90,Down
357,733,-445,-601,85,0,Down
335,712,-421,-832,150,-45,Down
284,670,-390,-1095,167,-135,Down
249,613,-382,-1343,150,-226,Down
-144,51,999,73,-126,45,Down
-147,49,995,90,-93,45,Down
-166,51,981,90,-77,0,Down
-174,55,981,90,-44,0,Down
-180,60,975,90,-28,0,Down
-183,73,980,73,-28,135,Down
-180,84,993,57,-28,135,Down
-177,85,1008,90,-12,45,Down
-175,90,1023,73,-12,45,Down
-171,87,1026,73,-28,45,Down
-162,90,1028,90,-28,90,Down
-148,88,1017,90,-12,45,Down
-148,97,1022,90,-28,-45,Down
-151,97,1020,90,-12,45,Down
-150,96,1013,106,4,45,Down
-144,96,1020,90,4,45,Down
-159,88,1019,90,4,45,Down
-163,87,1025,90,-28,45,Down
-153,82,1020,90,-44,45,Down
-142,84,1020,90,-44,45,Down
-133,84,1020,90,-61,45,Down
-126,87,1013,106,-44,90,Down
-115,90,1011,90,-44,90,Down
-117,90,1017,90,-28,45,Down
-123,84,1017,90,-12,90,Down
-118,82,1014,90,-12,90,Down
-129,88,1016,90,-28,45,Down
-127,93,1014,90,-12,90,Down
-126,81,1016,90,-28,90,Down
-120,82,1013,73,-28,45,Down
-124,82,1013,90,-12,45,Down
-123,76,1011,90,-12,45,Down
-118,72,1011,90,-12,90,Down
-130,75,1008,90,4,45,Down
-135,78,1010,90,4,45,Down
-141,72,1010,90,4,0,Down
-141,73,1010,90,-12,0,Down
-139,81,1008,73,-28,45,Down
-138,78,1013,90,-12,45,Down
-138,79,1013,90,-12,45,Down
-133,88,1014,90,-12,45,Down
-132,84,1020,90,-12,45,Down
-132,88,1011,90,4,45,Down
-136,91,1008,73,4,45,Down
-141,96,1014,90,4,45,Down
