@relation 1811teachset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-196,163,1004,90,-61,45,Down
-193,166,1007,106,-28,90,Down
-204,159,1008,90,-61,45,Down
-208,153,1014,106,-28,135,Down
-207,151,1019,90,-61,45,Down
-213,148,1017,106,-61,135,Down
-208,153,1010,106,-61,135,Down
-207,162,1014,106,-61,45,Down
-213,163,1020,123,-44,90,Down
-214,159,1035,123,-77,-45,Down
-216,159,1044,123,-61,90,Down
-225,154,1058,139,-77,45,Down
-232,151,1088,172,-77,45,Down
-243,138,1110,189,-93,45,Down
-246,145,1131,189,-77,90,Down
-235,156,1140,238,-61,135,Down
-228,172,1149,287,-44,181,Down
-229,189,1173,320,-44,226,Down
-237,184,1193,337,-61,226,Down
-211,180,1223,386,-61,226,Down
-211,178,1254,436,-44,316,Down
-228,168,1277,502,-28,271,Down
-243,157,1299,568,-28,316,Down
-252,151,1316,650,-12,316,Down
-264,148,1337,716,-28,362,Down
-264,150,1340,831,-12,316,Down
-238,163,1326,897,4,362,Down
-231,171,1322,1012,36,362,Down
-288,177,1331,1078,36,362,Down
-315,171,1308,1194,85,452,Down
-321,187,1313,1292,52,407,Down
-364,196,1289,1375,36,497,Down
-363,208,1284,1457,4,543,Down
-384,217,1253,1556,-44,543,Down
-352,226,1206,1638,-77,588,Down
-333,252,1134,1721,-93,633,Down
-294,276,1049,1787,-93,633,Down
-259,315,977,1853,-61,724,Down
-237,357,872,1853,-44,724,Down
-186,397,788,1918,36,769,Down
-180,430,755,1886,52,769,Down
-198,433,657,1902,134,905,Down
-120,475,539,1886,167,814,Down
-46,538,437,1853,248,905,Down
-15,586,327,1787,297,905,Down
17,628,248,1704,362,905,Down
15,652,170,1605,379,905,Down
29,685,101,1490,395,905,Down
57,711,53,1358,379,859,Down
80,732,29,1210,379,905,Down
95,742,12,1062,330,859,Down
114,748,9,930,281,814,Down
134,753,0,782,216,814,Down
149,753,11,633,150,678,Down
161,756,3,485,101,678,Down
176,759,-30,353,52,543,Down
191,775,-66,222,20,452,Down
183,775,-69,57,-61,362,Down
-151,271,1035,40,-126,135,Down
-145,226,1022,40,-142,135,Down
-129,186,1005,24,-175,135,Down
-106,160,996,24,-159,135,Down
-99,145,990,24,-159,135,Down
-109,135,984,40,-142,135,Down
-129,132,996,40,-142,90,Down
-148,141,995,73,-126,90,Down
-151,147,984,90,-110,45,Down
-159,160,963,106,-93,0,Down
-153,174,957,90,-77,0,Down
-157,178,956,90,-77,-45,Down
-181,180,944,106,-44,0,Down
-174,189,939,90,-61,0,Down
-183,189,944,90,-44,0,Down
-186,186,948,90,-28,0,Down
-181,187,953,73,-12,90,Down
-192,190,969,73,-12,45,Down
-201,183,978,73,-28,45,Down
-196,181,975,57,-44,90,Down
-189,190,977,73,-44,0,Down
-186,192,972,57,-28,90,Down
-186,186,974,40,-44,45,Down
-180,192,968,40,-28,90,Down
-177,193,984,57,-12,90,Down
-183,196,993,24,-28,45,Down
-189,196,1004,40,-12,90,Down
-193,199,1002,40,-28,90,Down
-181,205,1001,40,-12,90,Down
-172,211,1005,40,-28,90,Down
-175,214,1011,40,-28,90,Down
-192,207,1014,40,-44,90,Down
-184,196,1011,40,-61,90,Down
-177,199,1004,40,-61,90,Down
-156,199,1005,40,-61,90,Down
-156,202,1011,57,-44,90,Down
-172,198,1016,57,-44,90,Down
-169,195,1011,57,-28,90,Down
-162,195,1014,73,-28,135,Down
-166,199,1010,90,-12,90,Down
-172,202,1008,106,-12,90,Down
-169,199,1001,57,-44,181,Down
-172,202,1002,57,-61,135,Down
-175,205,996,57,-61,45,Down
-180,210,990,106,-28,181,Down
-171,208,995,73,-61,90,Down
-166,213,998,57,-61,135,Down
-178,213,993,73,-61,0,Down
-180,205,995,57,-61,90,Down
-183,204,996,57,-77,135,Down
-177,204,996,57,-77,45,Down
-183,202,995,73,-61,45,Down
-175,199,990,73,-61,90,Down
-172,202,990,73,-77,0,Down
-171,198,995,73,-44,90,Down
-172,199,993,73,-61,45,Down
